id,name,date,source,href
89,ЦБ выбрал 12 банков для тестирования системы цифрового рубля,"datetime=""2021-06-30T07:01:00Z""",Ведомости,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
90,Турция приостановит авиасообщение с шестью странами из-за новых штаммов коронавируса,"datetime=""2021-06-30T00:56:58Z""",Газета.Ru,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
91,«Газпром» отказался бронировать мощности для транзита газа через Украину,"datetime=""2021-06-30T07:01:00Z""",РБК,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
92,Адвокат Трампа сообщил детали обвинения против Trump Organization,"datetime=""2021-06-30T00:56:58Z""",РБК,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
93,Абхазия обратилась к России за помощью в борьбе с пандемией COVID-19,"datetime=""2021-06-30T00:56:58Z""",RT на русском,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
94,Большинство привитых россиян заявили о готовности пройти ревакцинацию,"datetime=""2021-06-30T07:01:00Z""",РБК,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
95,Один из крупнейших владельцев биткоинов загадочно погиб,"datetime=""2021-06-30T00:56:58Z""",Lenta.ru,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
96,Азербайджан собрал доказательства по делу о сбитом российском Ми-24,"datetime=""2021-06-30T00:56:58Z""",РИА НОВОСТИ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
97,Бывший глава ФБК Жданов объявлен в международный розыск,"datetime=""2021-06-30T07:01:00Z""",Коммерсантъ,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
98,Избитые в Ницце волонтеры Навального пригрозили чеченцам депортацией,"datetime=""2021-06-30T00:56:58Z""",ВЗГЛЯД.РУ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
99,Спикер Верховной рады Украины отвесил Зеленскому публичную «оплеуху»,"datetime=""2021-06-30T00:56:58Z""",Федеральное агентство новостей No.1,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
100,"""Новая газета"": за ""Алыми парусами"" с яхты мог наблюдать Путин","datetime=""2021-06-30T07:01:00Z""",Радио Свобода ,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
101,Судмедэксперты назвали причину смерти разработчика антивируса McAfee,"datetime=""2021-06-30T00:56:58Z""",РБК,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
102,Вице-премьера Австралии оштрафовали из-за отсутствия маски,"datetime=""2021-06-30T00:56:58Z""",РБК,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
103,В двух городах ХМАО ввели обязательную самоизоляцию,"datetime=""2021-06-30T07:01:00Z""",РИА НОВОСТИ,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
104,В смертельной резне в Германии увидели исламистский мотив,"datetime=""2021-06-30T00:56:58Z""",Lenta.ru,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
105,Экс-президенту Украины Кравчуку сделали операцию на сердце,"datetime=""2021-06-30T00:56:58Z""",Вести.Ru,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
106,В Британии прокомментировали потерю документов об операции эсминца Defender,"datetime=""2021-06-30T07:01:00Z""",RT на русском,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
107,Онлайн-платформа для изучения языков Duolingo проведет IPO на NASDAQ,"datetime=""2021-06-30T00:56:58Z""",РБК,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
108,В США оценили результаты саммита Путина и Байдена,"datetime=""2021-06-30T07:01:00Z""",Lenta.ru,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
109,В ВОЗ ответили на вопрос о смертности от штамма 'дельта',"datetime=""2021-06-30T00:56:58Z""",РИА НОВОСТИ,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
110,Омбудсмен по ресторанам: в Москве закроется 70% заведений общепита,"datetime=""2021-06-30T07:01:00Z""",Газета.Ru,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
111,В Эстонии разморозилось более 68 тыс. доз вакцины AstraZeneca,"datetime=""2021-06-30T00:56:58Z""",РБК,https://news.google.com/articles/CAIiENlcffOjQ9N8biRFVinkV4wqGQgEKhAIACoHCAow_Y-ICzCvxYYDMKiXmgY?hl=ru&gl=RU&ceid=RU%3Aru
112,"Пермячка, привившаяся от COVID, узнала о тайной подмене вакцины","datetime=""2021-06-30T07:01:00Z""",URA.Ru,https://news.google.com/articles/CAIiEM8WZyKdizqpPdJK-LbDa9QqGAgEKg8IACoHCAowpuXNATCT2ScwiM-aAQ?hl=ru&gl=RU&ceid=RU%3Aru
